display_name,full_address,space_type,decade,year,lat,lon,amenities
Vaseline Alley',Queens,Other,1980s,1981,40.747118,-73.892407,"Cruisy Area,(AYOR)"
42Nd St. Barracks,"226 W. 42nd St., Midtown",Other,1980s,1981,40.7563193,-73.988233,
55Th St. Playhouse,"55th St., Midtown",Other,1980s,1981,40.7660018,-73.985207,
75Th St.,Uptown,Other,1980s,1981,40.78019,-73.978736,Cruisy Area
A Touch Of Class,"113-24 Queens Blvd., Queens",Other,1980s,1981,40.71715,-73.835507,
Adonis Cinema,"8th Ave., Midtown",Other,1980s,1981,40.7523177,-73.993361,(*)
Adult Fair Cinema,"Astoria Blvd., Queens",Other,1980s,1981,40.763599,-73.87925,
Andre'S,"8th Ave., Uptown",Other,1980s,1981,40.8164218,-73.946614,(B-1970-1989)
Ansonia Bath & Health Club,"2109 Broadway, Uptown",Other,1980s,1981,40.7903912,-73.975955,
Anvil,"500 W. 14th, Greenwich Village",Other,1980s,1981,40.7421136,-74.008505,"(D),(P-1965-1989),(RT),(AYOR)"
Apartment,"508 Willis Ave., Bronx",Other,1980s,1981,40.8151171,-73.918247,(D)
Arck Lane,"130-02 Atlantic Ave., Queens",Other,1980s,1981,40.6957277,-73.818694,"(AH),(L-1980-1989)"
Back Room Book Shop,"178 Christopher St., Greenwich Village",Other,1980s,1981,40.732275,-74.009702,(*)
Backstage,"318 W. 45th St., Midtown",Other,1980s,1981,40.7594733,-73.989428,"(M-1965-1989),(R-1965-1989),(E)"
Backyard,"243 E. 53rd St., Midtown",Other,1980s,1981,40.7572336,-73.967694,
TESTING,"Christopher & West Sts., Greenwich Village",Other,1980s,1981,40.706223,-74.01701,"(SM),(W-1972-1989)"
Barbary Coast,"64 7th Ave., Greenwich Village",Other,1980s,1981,40.7388673,-73.999723,
Beach Haven,"901 Father Cappanado Blvd., Staten Island",Other,1980s,1981,40.5746154,-74.085528,"(D),(PT),(L-1980-1989)"
Beacon Baths,"227 E. 45th St., Midtown",Other,1980s,1981,40.752406,-73.97177,(OC)
Beau Geste,"239 3rd Ave., Greenwich Village",Restaurant / Cafe,1980s,1981,40.736684,-73.984366,(R-1965-1989)
Beekman Place,Uptown,Other,1980s,1981,40.753309,-73.964796,Cruisy Area
Belair Travel Ltd.,"342 Madison Ave., Midtown",Other,1980s,1981,40.7539706,-73.978871,
Betsy Ross,"73-13 37th Ave., Queens",Other,1980s,1981,40.7490898,-73.892489,(D)
Better Days,"316 W. 49th St., Midtown",Other,1980s,1981,40.7619279,-73.987725,"(B-1970-1989),(D),(*)"
Big Dish 383 W . 12Th St.,"383 W. 12th St., Greenwich Village",Restaurant / Cafe,1980s,1981,40.737755,-74.008756,"(M-1965-1989),(R-1965-1989)"
Big Top Theatre,"1604 Broadway, Midtown",Other,1980s,1981,40.7604668,-73.984251,"(S-1965-2002),(E),(D)"
Big Wok,"753 Washington St., Greenwich Village",Restaurant / Cafe,1980s,1981,40.7368806,-74.008095,"(M-1965-1989),(R-1965-1989),(*)"
